id,text
1,I'm so frustrated with the bugs in this software.
2,"Bitcoin prices are skyrocketing again, investors are thrilled."
3,"The weather today is beautiful, feeling positive and refreshed."
4,Had a wonderful dinner with family tonight.
5,This new update completely ruined the app.
6,"Bitcoin prices are skyrocketing again, investors are thrilled."
7,This new update completely ruined the app.
8,Feeling excited about the upcoming movie release!
9,I'm so frustrated with the bugs in this software.
10,I'm so frustrated with the bugs in this software.
11,"Bitcoin prices are skyrocketing again, investors are thrilled."
12,"The weather today is beautiful, feeling positive and refreshed."
13,AI is transforming the future of technology.
14,"Bitcoin prices are skyrocketing again, investors are thrilled."
15,This new update completely ruined the app.
16,"The weather today is beautiful, feeling positive and refreshed."
17,The new phone model is impressive and fast.
18,"Customer service was terrible, very disappointed."
19,I'm so frustrated with the bugs in this software.
20,"Customer service was terrible, very disappointed."
21,AI is transforming the future of technology.
22,Traffic jam made me late for work again.
23,AI is transforming the future of technology.
24,This new update completely ruined the app.
25,Traffic jam made me late for work again.
26,Traffic jam made me late for work again.
27,Traffic jam made me late for work again.
28,Had a wonderful dinner with family tonight.
29,"The weather today is beautiful, feeling positive and refreshed."
30,Had a wonderful dinner with family tonight.
31,Had a wonderful dinner with family tonight.
32,Traffic jam made me late for work again.
33,This new update completely ruined the app.
34,Had a wonderful dinner with family tonight.
35,The new phone model is impressive and fast.
36,"Customer service was terrible, very disappointed."
37,"Bitcoin prices are skyrocketing again, investors are thrilled."
38,"The weather today is beautiful, feeling positive and refreshed."
39,AI is transforming the future of technology.
40,The new phone model is impressive and fast.
41,The new phone model is impressive and fast.
42,Traffic jam made me late for work again.
43,"Customer service was terrible, very disappointed."
44,"The weather today is beautiful, feeling positive and refreshed."
45,Feeling excited about the upcoming movie release!
46,This new update completely ruined the app.
47,AI is transforming the future of technology.
48,The new phone model is impressive and fast.
49,AI is transforming the future of technology.
50,I'm so frustrated with the bugs in this software.
51,I'm so frustrated with the bugs in this software.
52,Feeling excited about the upcoming movie release!
53,Had a wonderful dinner with family tonight.
54,"The weather today is beautiful, feeling positive and refreshed."
55,AI is transforming the future of technology.
56,"Bitcoin prices are skyrocketing again, investors are thrilled."
57,I'm so frustrated with the bugs in this software.
58,Traffic jam made me late for work again.
59,AI is transforming the future of technology.
60,This new update completely ruined the app.
61,"Customer service was terrible, very disappointed."
62,Feeling excited about the upcoming movie release!
63,Feeling excited about the upcoming movie release!
64,Feeling excited about the upcoming movie release!
65,This new update completely ruined the app.
66,Feeling excited about the upcoming movie release!
67,Traffic jam made me late for work again.
68,Feeling excited about the upcoming movie release!
69,"Bitcoin prices are skyrocketing again, investors are thrilled."
70,"Customer service was terrible, very disappointed."
71,"Customer service was terrible, very disappointed."
72,"The weather today is beautiful, feeling positive and refreshed."
73,"Customer service was terrible, very disappointed."
74,Feeling excited about the upcoming movie release!
75,"The weather today is beautiful, feeling positive and refreshed."
76,I'm so frustrated with the bugs in this software.
77,"Bitcoin prices are skyrocketing again, investors are thrilled."
78,"Customer service was terrible, very disappointed."
79,Traffic jam made me late for work again.
80,"The weather today is beautiful, feeling positive and refreshed."
81,Feeling excited about the upcoming movie release!
82,"Bitcoin prices are skyrocketing again, investors are thrilled."
83,Traffic jam made me late for work again.
84,Traffic jam made me late for work again.
85,"The weather today is beautiful, feeling positive and refreshed."
86,"Bitcoin prices are skyrocketing again, investors are thrilled."
87,Traffic jam made me late for work again.
88,AI is transforming the future of technology.
89,This new update completely ruined the app.
90,Feeling excited about the upcoming movie release!
91,AI is transforming the future of technology.
